Doi,DB,Title,Abstract,keywords,Venue,Date,Terms category 1,Terms category  2,Terms 1,Terms 2
/doi/10.1145/2656045.2656066,ACM,Real-time multi-core virtual machine scheduling in xen,"Recent years have witnessed two major trends in the development of complex real-time embedded systems. First, to reduce cost and enhance flexibility, multiple systems are sharing common computing platforms via virtualization technology, instead of being deployed separately on physically isolated hosts. Second, multicore processors are increasingly being used in real-time systems. The integration of real-time systems as virtual machines (VMs) atop common multicore platforms raises significant new research challenges in meeting the real-time performance requirements of multiple systems. This paper advances the state of the art in real-time virtualization by designing and implementing RT-Xen 2.0, a new real-time multicore VM scheduling framework in the popular Xen virtual machine monitor (VMM). RT-Xen 2.0 realizes a suite of real-time VM scheduling policies spanning the design space. We implement both global and partitioned VM schedulers; each scheduler can be configured to support dynamic or static priorities and to run VMs as periodic or deferrable servers. We present a comprehensive experimental evaluation that provides important insights into real-time scheduling on virtualized multicore platforms: (1) both global and partitioned VM scheduling can be implemented in the VMM at moderate overhead; (2) at the VMM level, while compositional scheduling theory shows partitioned EDF (pEDF) is better than global EDF (gEDF) in providing schedulability guarantees, in our experiments their performance is reversed in terms of the fraction of workloads that meet their deadlines on virtualized multi-core platforms; (3) at the guest OS level, pEDF requests a smaller total VCPU bandwidth than gEDF based on compositional scheduling analysis, and therefore using pEDF at the guest OS level leads to more schedulable workloads in our experiments; (4) a combination of pEDF in the guest OS and gEDF in the VMM -- configured with deferrable server -- leads to the highest fraction of schedulable task sets compared to other real-time VM scheduling policies; and (5) on a platform with a shared last-level cache, the benefits of global scheduling outweigh the cache penalty incurred by VM migration.",,EMSOFT '14: Proceedings of the 14th International Conference on Embedded Software,12 October 2014,900 - No match,900 - No match,[],[]
/doi/10.1109/UCC.2014.38,ACM,Metaheuristics-Based Planning and Optimization for SLA-Aware Resource Management in PaaS Clouds,"The Platform as a Service (PaaS) model of Cloud Computing has emerged as an enabling yet disruptive paradigm for accelerated development of applications on the Cloud. PaaS hides administration complexities of the underlying infrastructure such as the physical or virtual machines. This abstraction is achieved through advanced automation and OS-level multi-tenant containers. However, the on-demand procurement, unpredictable workloads and auto-scaling result in rapid increase and decrease of containers. This causes undesired utilization of Cloud resources and energy wastage that can be avoided with real time planning. Hence, the main challenge of a PaaS Cloud provider is to regularly plan and optimize the placement of containers on Cloud machines. However, the service-driven constraints regarding containers and spatial constraints regarding machines make SLA-aware resource allocation non-trivial. This relatively novel ""Service Consolidation"" problem is a variant of multi-dimensional bin-packing and hence NP-hard. In this work, we concretely frame this problem by leveraging the definition of Machine Reassignment model proposed by Google for the ROADEF/EURO challenge and characterize it for Open Shift PaaS. We apply Metaheuristic search to discover best (re) allocation solutions on Clouds of varying scales. We compare four state of the art algorithms as problem properties change in datasets and evaluate their performance against a variety of metrics including objective function score, machines used, utilization, resource contention, SLA violations, migrations and energy consumption. Finally, we present a policy-led ranking of solutions to obscure the complexity of individual metrics and decide for the most preferred solution. Hence, we provide valuable insights for SLA-aware resource management in PaaS Clouds.","Cloud Computing, Open Shift, Optimization, PaaS, Resource Allocation, SLA Violations, Service Consolidation, Service Level Agreement (SLA), Service Migration",UCC '14: Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing,08 December 2014,900 - No match,900 - No match,[],[]
/doi/10.1145/3073416,ACM,Noc-HMP: A Heterogeneous Multicore Processor for Embedded Systems Designed in SystemJ,"Scalability and performance in multicore processors for embedded and real-time systems usually don't go well each with the other. Networks on Chip (NoCs) provide scalable execution platforms suitable for such kind of embedded systems. This article presents a NoC-based Heterogeneous Multi-Processor system, called NoC-HMP, which is a scalable platform for embedded systems developed in the GALS language SystemJ. NoC-HMP uses a time-predictable TDMA-MIN NoC to guarantee latencies and communication time between the two types of time-predictable cores and can be customized for a specific performance goal through the execution strategy and scheduling of SystemJ program deployed across multiple cores. Examples of different execution strategies are introduced, explored and analyzed via measurements. The number of used cores can be minimized to achieve the target performance of the application. TDMA-MIN allows easy extensions of NoC-HMP with other cores or IP blocks. Experiments show a significant improvement of performance over a single core system and demonstrate how the addition of cores affects the performance of the designed system.","GALS, MCSoC, Systemj, TDMA-MIN, multicore, network-on-chip","ACM Transactions on Design Automation of Electronic Systems (TODAES), Volume 22, Issue 4",13 June 2017,900 - No match,900 - No match,[],[]
/doi/10.5555/2151054.2151111,ACM,Improving the concurrent updates of replicated global objects in multi-server virtual environments,"We study an emerging class of high-performance virtual environments, called","concurrent write, data consistency, global objects, massively multiplayer online games (MMOG), real-time framework (RTF), synchronization, update ordering, virtual environments",SIMUTools '11: Proceedings of the 4th International ICST Conference on Simulation Tools and Techniques,21 March 2011,900 - No match,2 - Complete terms,[],['virtual environment']
/doi/10.5555/2093889.2093952,ACM,An introduction to Java development kit 7,"In 2011 the Java(tm) Development Kit 7 (or JDK 7) became generally available. JDK 7 is the latest step in the evolution of the Java SE platform. It offers Java developers functionality and performance improvements in several areas including new I/O APIs, concurrency utilities like the Fork/Join framework, new support for dynamically typed languages in the JVM, changes to modularity, and several changes to the language to improve application development.",,CASCON '11: Proceedings of the 2011 Conference of the Center for Advanced Studies on Collaborative Research,07 November 2011,900 - No match,900 - No match,[],[]
/doi/10.1145/1289927.1289940,ACM,Communication-aware stochastic allocation and scheduling framework for conditional task graphs in multi-processor systems-on-chip,"The increasing levels of system integration in Multi-Processor System-on-Chips (MPSoCs) emphasize the need for new design flows for efficient mapping of multi-task applications onto hardware platforms. Even though data-flow graphs are often used for pure data-streaming, many realistic applications can only be specified as conditional task graphs (CTG). The problem of allocating and scheduling conditional task graphs on processors in a distributed real-time system is NP-hard. The first contribution of this paper is a complete stochastic allocation and scheduling framework, where an MPSoC virtual platform is used to accurately derive input parameters, validate abstract models of system components and assess constraint satisfaction and objective function optimization. The optimizer implements an efficient and exact approach to allocation and scheduling based on problem decomposition. The original contributions of the approach appear both in the allocation and in the scheduling part of the optimizer. For the first, we propose an exact analytic formulation of the stochastic objective function based on the task graph analysis, while for the scheduling part we extend the timetable constraint for conditional activities. The second contribution of this paper is the introduction of a software library and API for the deployment of conditional task graph applications onto Multi-Processor System-on-Chips. With our library support, programmers can quickly develop multi-task applications which will run on a multi-core architecture and can easily apply the optimal solution found by our optimizer. The proposed programming support manages OS-level issues, such as task allocation and scheduling, as well as task-level issues, like inter-task communication and synchronization.","allocation, multimedia dataflow streaming, scheduling",EMSOFT '07: Proceedings of the 7th ACM & IEEE international conference on Embedded software,30 September 2007,900 - No match,900 - No match,[],[]
/doi/10.1145/2452376.2452407,ACM,Utility-driven data acquisition in participatory sensing,"Participatory sensing (PS) is becoming a popular data acquisition means for interesting emerging applications. However, as data queries from these applications increase, the sustainability of this platform for multiple concurrent applications is at stake. In this paper, we consider the problem of efficient data acquisition in PS when queries of different types come from different applications. We effectively deal with the issues related to resource constraints, user privacy, data reliability, and uncontrolled mobility. We formulate the problem as multi-query optimization and propose efficient heuristics for its effective solution for the various query types and mixes that enable sustainable sensing. Based on simulations with real and artificial data traces, we found that our heuristic algorithms outperform baseline approaches in a multitude of settings considered.","query mix, sensor data sharing, sustainability",EDBT '13: Proceedings of the 16th International Conference on Extending Database Technology,18 March 2013,900 - No match,900 - No match,[],[]
/doi/10.1145/2463372.2463516,ACM,The asynchronous island model and NSGA-II: study of a new migration operator and its performance,"This work presents an implementation of the asynchronous island model suitable for multi-objective evolutionary optimization on heterogeneous and large-scale computing platforms. The migration of individuals is regulated by the crowding comparison operator applied to the originating population during selection and to the receiving population augmented by all migrants during replacement. Experiments using this method combined with NSGA-II show its scalability up to 128 islands and its robustness. Furthermore, the proposed parallelization technique consistently outperforms a multi-start and a random migration approach in terms of convergence speed, while maintaining a comparable population diversity. Applied to a real-world problem of interplanetary trajectory design, we find solutions dominating an actual NASA/ESA mission proposal for a tour from Earth to Jupiter, in a fraction of the computational time that would be needed on a single CPU.","distributed algorithms, evolutionary algorithms, island model, migration, multi-objective opimization",GECCO '13: Proceedings of the 15th annual conference on Genetic and evolutionary computation,06 July 2013,900 - No match,900 - No match,[],[]
/doi/10.1145/2815317.2815340,ACM,Performance Evaluation of the VB-TDMA Protocol for Long-term Tracking and Monitoring of Mobile Entities in the Outdoors,"The Virtual Beacon-Time Division Multiple Access (VB-TDMA) communication protocol has been proposed in [12] for a growing class of applications which require GPS tracking of autonomous mobile entities in the outdoors, and the long-term continuous monitoring of their contextual information using wireless sensors. Examples include monitoring animal behaviour in their natural habitat over the annual cycle, tracking shipping containers during their life-cycle of transit, loading/unloading and storage, and the handling of high-value packages during transportation. This paper employs simulations to evaluate the network performance of the VB-TDMA communication protocol in a representative scenario involving wild horses attached with collars, each containing a custom-designed platform with a three-axis accelerometer, a GPS module and ancillary electronics and battery, which uploads wirelessly to static base-stations, its position (sensed thrice an hour) and a summary of its activities between uploads. The simulations benefited from movement models derived from real data obtained from a long-term deployment of the collars on wild horses in the Donana National Park in south-west Spain. Comparisons with other MAC protocols have demonstrated the superior performance of the VB-TDMA protocol over a range of metrics for the representative example. An enhanced version of the VB-TDMA protocol - a multi-hop variant - is introduced for low latency requirements and was simulated for an urban scenario of bicycles fitted with sensors for crowd-sourcing spatio-temporal air quality information along the route of travel which is uploaded to the server when within range of static base-stations, for cases where low latency data upload is a requirement to enable access to the latest air quality information.","gps, network performance, simulation, tdma, vb-tdma, virtual beacon, wildlife tracking and monitoring, wireless sensor networks",Q2SWinet '15: Proceedings of the 11th ACM Symposium on QoS and Security for Wireless and Mobile Networks,02 November 2015,900 - No match,900 - No match,[],[]
/doi/10.1145/2535372.2535378,ACM,An automated system for emulated network experimentation,"Emulated networks and systems, where router and server software are run in virtual environments, allow network operators and researchers to perform experiments at large scale more economically than in testbeds. Running real code provides a greater level of realism than simulation.","configuration management, emulation, routing design",CoNEXT '13: Proceedings of the ninth ACM conference on Emerging networking experiments and technologies,09 December 2013,900 - No match,2 - Complete terms,[],['virtual environment']
