doi,title,abstract,keyword_count,key_group_count,keyword_repetition,unique_terms,term_frecuency,rank
10.1016/j.sigpro.2023.109018,A framework for millimeter-wave multi-user SLAM and its low-cost realization,"Millimeter-wave (mmWave) is regarded as a promising technique for accurate simultaneous localization and mapping (SLAM). However, the implementation of a massive antenna array and the extensiveness of mmWave anchor deployment significantly increase the cost of the whole system, and thus mmWave is still not considered in commercial localization scenarios. In this paper, a low-cost and highly efficient mmWave-based SLAM scheme is proposed to address the above limitations. Concretely, mmWave-based sensing is leveraged to obtain the locations of obstacles. Then, multi-user landmark association and fast map merging are performed for accurate global map construction. The simulation and experimental results show that the proposed framework achieves submeter-level mapping accuracy and provides new insight into efficiently designing a SLAM system that meets the stated requirements.",2,2,2,"{'ar', 'multi-user'}","{'ar': 1, 'multi-user': 1}",
10.1016/j.neucom.2023.126697,A Review-based Feature-level Information Aggregation Model for Graph Collaborative Filtering,"To explicitly exploit the collaborative signals in the user-item interaction graph, a growing number of recent Collaborative Filtering (CF) studies adopt Graph Convolution Network (GCN) as a basis. Though effective, these methods basically treat all neighbors equally, ignoring the fact that neighbors should be target-related. While there are some works that assign different weights to neighbors via using the attention mechanism, they still suffer from two problems. First, the performance of them is limited by the lack of fine-grained details. Second, attention learned solely from interaction data may not reflect the user’s opinions accurately. To address these issues, we propose a Review-based Feature-level Information Aggregation (RFIA) graph model that incorporates the review information into the graph propagation to achieve more fine-grained information aggregation. The main idea of RFIA is to assign feature-level attention vectors for the interaction edges to adaptively adjust the contribution ratios of input neighbors across various dimensions, based on rich review information. Specifically, we first extract review features from text by BERT-Whitening. Then, we design non-linear feature extractors separately in two directions to further extract and refine these review features as feature-level attention. Finally, we design a graph contrastive learning module to optimize the learning of extractors under limited user behaviors. Experiments on three publicly available datasets validate the effectiveness and performance superiority of our proposed model.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/INES.2018.8523940,Collaborative Activities in Virtually-Based Training for Minimally Invasive Surgery Between the University of Arizona and Wroclaw University of Technology,"A brief overview of collaborative activities between the two respective universities in the field of computer-aided training for laparoscopic surgery is given. Those activities entailed personnel and student exchanges, short and long term scientific visits, and joint publication based on the theoretical concepts and their implementations in the research laboratories.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/AIM46323.2023.10196127,A Novel Human-Machine Collaboration Approach for Autonomous Driving with Hand Gesture-based Guidance,"In highly automated driving vehicles, a human-vehicle interface might still be required for individualization and emergency intervention. We propose a tactical human-vehicle collaboration framework by leveraging the hand-landmark extraction algorithm and the augmented reality visual feedback. The proposed vision-based interface projects the gesture, as the driver’s intention, onto the ground and feeds the projection back to the driver through the AR-HUD interface. The projected intention functions as a strategic decision or planning suggestion to the vehicle while collision avoidance, traffic rules compliance, and precise control are realized by the automation algorithm. The feasibility of the framework is validated through an integrated self-driving algorithm combining the risk field, learning-based trajectory prediction, and model predictive control. Comparisons with the conventional manual driving scheme demonstrate that high-level collaboration vastly reduces human physical burdens without compromising driving performance and driver mental workloads.",2,1,2,"{'augmented reality', 'ar'}","{'augmented reality': 1, 'ar': 1}",
10.1016/j.asoc.2022.109911,A space variable-scale scheduling method for digital vehicle-to-grid platform under distributed electric energy storage,"With the widespread application of digital technology in the intelligent transportation field, the vehicle-to-grid (V2G) pattern, which utilizes electric vehicles (EVs) as the distributed storage resources of electric energy, has won increasingly more attention from authorities and decision-makers to promote the sustainable development of regenerative clean energy. This paper aims to study the interaction and integration problem between EVs and grid for the digital V2G platform, so as to support load aggregators making scheduling decisions. According to the variable-scale data analysis theory, a space–time scale space model is established to describe the demand response behavioral feature of EV users, and the lightning-Scale Transformation method (LST) is also proposed. Compared to the original unidirectional scale transformation modes, the LST is capable of adjusting the space and time observation scale collaboratively. A vehicle-to-grid scheduling method based on the lightning-Scale Transformation (V2G-LST) is put forward, in order to make scheduling plans by considering EV users’ behavioral feature and charger resource constraints. We collect the real dataset from 863 Beijing charging stations using the APIs of Amap, as well as the investigation data of the State Grid Corporation of China to verify the efficacy of our proposed method. Comparative experimental results verify that the V2G-LST could obtain the lower dispatch cost and higher EV charger usage rate than the maximum dispatchable quantity first method EVC-MDQ under both charging and discharging scenarios.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/PDCAT.2007.84,Collaborative Environment with Visualizing Medical Volume Data by Virtual Reality,"We have developed a virtual reality collaborative environment on volume communications environment, which is a tele-immersive collaboration environment on a grid infrastructure. The system is targeted to develop this tools; it is an integrated environment consisting of a real time information sharing system between remotely located researchers and a three-dimensional (3D) image-based real-time communication system. To evaluate the system's functionality and performance, we have used it for real research problems, in the medical areas. This paper describes the system and effectiveness of virtual reality.",3,2,3,"{'ar', 'collaborative', 'virtual reality'}","{'virtual reality': 1, 'ar': 1, 'collaborative': 1}",
10.1016/j.dsp.2023.104135,Multi-antenna intelligent spectrum sensing in the presence of non-Gaussian interference,"The secondary user (SU) only detects one feature of the primary user (PU) signal in conventional spectrum sensing. However, single feature detection does not fully explore the PU information. Meanwhile, non-Gaussian interference will also affect the spectrum sensing performance. In this paper, we propose a novel spectrum sensing method using multimodal fusion and convolutional neural networks (CNN). First, the received signal at multiple antennas is preprocessed, where the generalized covariance matrix and the generalized Wigner-Ville distribution are used to characterize two different modes of the received signals as the input of CNN. Then, a CNN model using multimodal fusion is constructed. In this model, the attention mechanism is first used to extract features of different modalities, and the multimodal fusion technique fuses the extracted features to obtain the feature vector. Finally, the detection statistics and detection thresholds for spectrum sensing are constructed and compared using the output feature vectors of CNN. Simulation results show that the performance of multi-mode fusion spectrum sensing is better than the single-mode counterpart. This method can effectively realize spectrum sensing with both Gaussian noise and non-Gaussian interference, and it has a high detection probability at low SNR.",1,1,1,{'ar'},{'ar': 1},
10.1016/j.sasc.2024.200076,HTML5-based graphic image processing and collaborative drawing technology,"HTML5 technology has great technical advantages and influence on the graphical image processing function of mobile devices. The purpose of this study is to evaluate the performance of HTML5 graphics and image processing and co-rendering technologies and to verify the effectiveness and usefulness of these technologies, including the measurement of user experience and efficiency. The simulation analysis is carried out on MATLAB, and different image compression algorithms are used for comparison. The evaluation indexes include peak signal-to-noise ratio (PSNR) and structural similarity (SSIM). Comparing the two methods of Joint Image Expert Group (JPEG) and fractal Image Compressed file (IFS), the results showed that the proposed algorithm provided better PSNR and SSIM values than IFS, and provided higher PSNR and lower SSIM values than JPEG under the condition of increasing compression ratio, showing excellent image processing and compression efficiency. Then, the correlation loss, brightness distortion, contrast distortion, and color distortion of image processing are analyzed for the four real scenes of blur, illumination, cloud, and strong light. The results showed that compared with JPEG and IFS, the correlation loss of the proposed algorithm was 15.46, 16.25, 16.78, and 17.45, respectively. It had lower correlation loss, brightness distortion, contrast distortion, and color distortion, and showed better image processing effects. In general, the study found that the graphics and image processing and co-rendering technology based on HTML5 has high efficiency and effect in image processing and compression, especially in complex environments and conditions, such as fuzzy conditions, lighting conditions, cloudy weather, and strong light conditions, showing excellent performance and adaptability. This discovery provides important evidence for its practical application in many fields such as computer vision, medical imaging, and remote sensing image analysis, and helps to promote the development and innovation of image processing technology in these fields to meet the increasing practical needs.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/CVPR52688.2022.00171,Collaborative Learning for Hand and Object Reconstruction with Attention-guided Graph Convolution,"Estimating the pose and shape of hands and objects under interaction finds numerous applications including aug-mented and virtual reality. Existing approaches for hand and object reconstruction require explicitly defined physical constraints and known objects, which limits its application domains. Our algorithm is agnostic to object models, and it learns the physical rules governing hand-object interaction. This requires automatically inferring the shapes and physi-cal interaction of hands and (potentially unknown) objects. We seek to approach this challenging problem by proposing a collaborative learning strategy where two-branches of deep networks are learning from each other. Specifically, we transfer hand mesh information to the object branch and vice versa for the hand branch. The resulting optimi-sation (training) problem can be unstable, and we address this via two strategies: (i) attention-guided graph convo-lution which helps identify and focus on mutual occlusion and (ii) unsupervised associative loss which facilitates the transfer of information between the branches. Experiments using four widely-used benchmarks show that our frame-work achieves beyond state-of-the-art accuracy in 3D pose estimation, as well as recovers dense 3D hand and object shapes. Each technical component above contributes meaningfully in the ablation study.",3,2,3,"{'ar', 'collaborative', 'virtual reality'}","{'virtual reality': 1, 'ar': 1, 'collaborative': 1}",
/doi/10.1145/3633637.3633724,3D SSVEP Visual stimulus inAugmentedRealityfor Robotic Arm Grasping,"Brain-computer interfaces (BCI) and augmented reality (AR) are the most promising technologies in the metaverse. Inspired by traditional steady-state visual evoked potentials (SSVEP), technologies that combine SSVEP with AR are rapidly developing. In the existing studies on AR-SSVEP, the visual stimuli in AR are completely separated from the target object, while the SSVEP stimuli are always 2D graphics, which greatly limits the practical applications in real dynamic scenes. In this paper, we propose a novel AR-based visual stimulus scheme that uses a depth camera to obtain the position information of the target object in the displayed scene, and then completely overlaps the visual stimulus of SSVEP with the target object. The subject wearing the AR headset can move his head or walk in the AR scene, while the 3D position of the stimulus always overlaps the target object to avoid the effect of head shaking. Moreover, subjects can observe the 3D stimulus from different angles. We designed experiments comparing 2D stimuli with 3D stimuli from different angles in this paper to demonstrate the superiority of 3D stimuli in an AR environment. In addition to this, we used a user study to evaluate subjects’ experience with the AR-SSVEP stimulus paradigm in this paper and confirmed that the AR-SSVEP system with 3D stimulus overlapping with the target object has a better interaction experience.",2,1,2,"{'augmented reality', 'ar'}","{'augmented reality': 1, 'ar': 1}",
